AADT_mean_x,AADT_Single_Unit_mean_x,AADT_Combination_mean_x,Future_AADT_mean_x,IRI_mean_x,Thickness_Rigid_mean_x,Thickness_Flexible_mean_x,Base_Thickness_mean_x,F_System_mode,Urban_Type,Surface_Type_mode,Base_Type_mode_x,Rutting_mean_x,Cracking_Percent_mean_x,Faulting_mean_x,Last_Overlay_Thickness_mean_x,IRI_mean_y,RHU_AV_x,FRZ_IDX_x,TEMP_AVG_x,PRECIPITATION_x,Age_x
52000,1070,1890,59100,61.3,9,2,4,1,urban,7,2,0.1,0,0,1.5,67.9,73.6,51.1,14.4,1233.2,57
52000,1070,1890,64100,72,9,2,4,1,urban,7,3,0.1,0,0,1.5,83,74.2,49.8,14.6,1219.1,57
46000,1400,5130,57300,64.7,9,9.5,4,1,rural,2,2,0.1,0,0,2.5,71,73.6,51.1,14.4,1233.2,58
31000,1070,3160,35000,70.3,9,7,4,1,rural,2,2,0.1,0.1,0,3.6,73.1,74.6,54,14,1345,55
33000,1110,3290,40000,69,9,6.5,4,1,small urban,2,2,0.1,0,0,4,71.5,74.6,54,14,1345,55
125000,2770,8740,145200,38,9,17.5,4,1,rural,2,3,0.1,0,0,3.5,46,74.8,45.9,14.8,1236.9,56
121000,2690,8490,145400,39.6,9,17.5,4,1,rural,2,3,0.1,0,0,3.5,43.2,74.8,45.9,14.8,1236.9,56
174000,3950,3750,235300,41.6,0,13.5,10,1,urban,2,2,0.2,0,0,4,48,76.1,28.6,15.6,1328.6,46
181000,4100,3900,289400,57,0,15.5,10,1,urban,2,2,0.2,0,0,4,60,76.1,28.6,15.6,1328.6,46
8000,300,1500,18000,45.9,0,8.5,8,1,rural,2,2,0.3,0.1,0,0,46.1,73.9,32.8,15.4,1242.1,9
66000,2010,6480,77300,51,9,2.5,4,1,urban,2,2,0.1,0,0,2.5,55,73.6,51.1,14.4,1233.2,52
174000,5180,5590,227600,121.5,9,6,4,1,urban,7,2,0.1,3,0,6,128,73.9,25.5,15.9,1204.9,45
81000,3150,9140,86900,55,14,0,11,1,rural,3,3,0,0,0,0,66,74.2,49.8,14.6,1219.1,4
81000,3150,9140,86900,49,14,0,11,1,urban,3,3,0,0,0,0,59,74.2,49.8,14.6,1219.1,4
62000,1690,4460,90500,46,9,4,4,1,urban,2,3,0.1,0,0,2,62,75.1,39.5,15.1,1277.7,56
51000,1380,3650,67200,50,9,9,4,1,urban,2,3,0.2,0,0,4.5,63.3,74.8,45.9,14.8,1236.9,56
59000,2090,1600,144600,70,11.5,0,11,1,urban,3,3,0,0,0,0,87,76.1,28.6,15.6,1328.6,10
98000,2930,2360,115000,38.1,0,11.5,15,1,urban,2,3,0.1,0,0,2,43.3,73.9,25.5,15.9,1204.9,22
124000,3710,2990,127900,39.5,0,11.5,15,1,urban,2,3,0.1,0,0,2,45.3,73.9,25.5,15.9,1204.9,22
30000,1260,1370,44600,77.2,0,6.5,16,2,rural,2,3,0.1,3.2,0,1.5,89.5,74.4,29.9,15.5,1271,19
45000,1090,470,60000,83.5,0,7.5,8,2,urban,2,2,0.2,3.8,0,3,84.8,74.8,45.9,14.8,1236.9,23
4200,210,260,4700,42.7,0,9,8,2,rural,2,2,0.2,1.7,0,0,56.4,78.3,8.3,17.4,1538.4,6
17000,910,1240,28300,37.5,0,9,8,2,rural,2,2,0.2,1,0,2.5,46.5,78.3,8.3,17.4,1538.4,39
21000,960,1050,43700,64,0,9,8,2,urban,2,2,0.3,15,0,2.5,64.2,78.3,8.3,17.4,1538.4,39
31000,1420,1550,41200,50,0,8,8,2,urban,2,2,0.2,1,0,1.5,53,78.3,8.3,17.4,1538.4,39
47000,1180,830,70900,53,0,8,8,2,urban,2,2,0.2,3,0,2.5,79.5,78.3,8.3,17.4,1538.4,39
5400,280,470,5400,62.4,0,8,12,3,rural,2,2,0.1,4,0,1.5,66.8,78.3,8.3,17.4,1538.4,57
45000,2390,1570,72900,56.8,0,10,10,2,urban,2,2,0.1,4,0,0,60.7,77,3.6,18.3,1557.4,12
